beds,baths,size,zip_code,price,lot_sq_ft,bed_bath_diff,bed_bath_ratio,lot_size_ratio
3,2.5,2590.0,98144,795000.0,6000.0,0.5,1.2,2.3166023166023164
4,2.0,2240.0,98106,915000.0,13503.6,2.0,2.0,6.028392857142857
4,3.0,2040.0,98107,950000.0,3783.0,1.0,1.3333333333333333,1.8544117647058824
4,3.0,3800.0,98199,1950000.0,5175.0,1.0,1.3333333333333333,1.361842105263158
2,2.0,1190.0,98107,740000.0,43560.0,0.0,1.0,36.60504201680672
1,1.0,670.0,98133,460000.0,6000.0,0.0,1.0,8.955223880597014
5,3.5,4510.0,98105,3150000.0,6000.0,1.5,1.4285714285714286,1.3303769401330376
3,2.5,1520.0,98108,565000.0,741.0,0.5,1.2,0.4875
4,2.0,2340.0,98178,699000.0,9500.0,2.0,2.0,4.05982905982906
3,2.0,1320.0,98103,899000.0,1386.0,1.0,1.5,1.05
3,2.0,1800.0,98177,1050000.0,3993.0,1.0,1.5,2.2183333333333333
3,2.5,2490.0,98103,935625.0,5757.0,0.5,1.2,2.3120481927710843
4,3.0,2650.0,98115,1511000.0,6380.0,1.0,1.3333333333333333,2.4075471698113207
5,1.5,2560.0,98199,1330000.0,5200.0,3.5,3.3333333333333335,2.03125
3,2.5,2974.0,98119,1750000.0,3840.0,0.5,1.2,1.2911903160726295
4,3.5,1989.0,98117,980000.0,1607.0,0.5,1.1428571428571428,0.8079436902966315
2,2.0,1332.0,98199,845000.0,1101.0,0.0,1.0,0.8265765765765766
4,3.0,2668.0,98116,1213000.0,5589.0,1.0,1.3333333333333333,2.0948275862068964
2,1.0,770.0,98133,530000.0,5250.0,1.0,2.0,6.818181818181818
3,1.5,1280.0,98146,625000.0,9100.0,1.5,2.0,7.109375
5,3.5,3200.0,98133,1275000.0,9260.0,1.5,1.4285714285714286,2.89375
2,1.5,889.0,98103,680000.0,10018.800000000001,0.5,1.3333333333333333,11.269741282339709
3,2.0,3140.0,98117,1219700.0,5000.0,1.0,1.5,1.5923566878980893
4,2.0,2000.0,98125,907200.0,8077.0,2.0,2.0,4.0385
3,2.5,1690.0,98108,760000.0,1733.0,0.5,1.2,1.0254437869822486
4,5.5,3000.0,98126,1484000.0,5520.0,-1.5,0.7272727272727273,1.84
3,3.0,1550.0,98115,950000.0,1400.0,0.0,1.0,0.9032258064516129
2,2.0,871.0,98119,430000.0,12632.4,0.0,1.0,14.50332950631458
4,1.5,1940.0,98118,520000.0,8778.0,2.5,2.6666666666666665,4.524742268041237
3,2.0,1770.0,98146,805000.0,3349.0,1.0,1.5,1.892090395480226
5,5.0,2510.0,98133,1000000.0,11761.2,0.0,1.0,4.685737051792829
3,2.5,1500.0,98103,1070000.0,1056.0,0.5,1.2,0.704
5,4.0,2920.0,98133,948000.0,6323.0,1.0,1.25,2.1654109589041095
3,2.0,2817.0,98103,912000.0,6375.0,1.0,1.5,2.263045793397231
1,1.0,617.0,98109,480000.0,21344.399999999998,0.0,1.0,34.59384116693679
2,2.0,1280.0,98112,776000.0,3000.0,0.0,1.0,2.34375
2,1.0,1240.0,98126,750000.0,5038.0,1.0,2.0,4.062903225806451
4,2.5,2280.0,98106,1065000.0,3932.0,1.5,1.6,1.724561403508772
5,3.5,3590.0,98136,2350000.0,15681.599999999999,1.5,1.4285714285714286,4.368133704735375
4,3.5,2478.0,98115,1580000.0,2761.0,0.5,1.1428571428571428,1.1142050040355125
3,3.0,2360.0,98117,1775000.0,6600.0,0.0,1.0,2.7966101694915255
2,1.0,720.0,98177,600000.0,7500.0,1.0,2.0,10.416666666666666
